StockID,Date,Time,open,close,high,low,vol,OI,SettleDate
IH1912,20190612,0:00:00,2774.2,2767.4,2775.4,2761.8,499,2194,20191220
IH1906,20190613,0:00:00,2788,2783.8,2796.8,2761.6,35291,36250,20190621
IH1907,20190613,0:00:00,2760,2760.4,2771.8,2738.8,3081,6398,20190719
IH1909,20190613,0:00:00,2769.8,2760.2,2774.8,2741.4,4255,13184,20190920
IH1912,20190613,0:00:00,2766.6,2759,2774.4,2742.6,416,2191,20191220
IH1906,20190614,0:00:00,2786.4,2775.2,2805.4,2770.6,27915,33048,20190621
IH1907,20190614,0:00:00,2764.8,2752,2781.4,2748.6,2592,6687,20190719
IH1909,20190614,0:00:00,2768,2747,2781.8,2743.4,4173,13208,20190920
IH1912,20190614,0:00:00,2763,2747.8,2782.8,2746,381,2317,20191220
IH1906,20190617,0:00:00,2776.6,2787.4,2803.6,2776.6,31302,31674,20190621
IH1907,20190617,0:00:00,2754,2762,2779,2752.6,4281,8473,20190719
IH1909,20190617,0:00:00,2750,2751,2772.6,2747,4931,14488,20190920
IH1912,20190617,0:00:00,2754,2750.8,2773.2,2748.2,302,2293,20191220
IH1906,20190618,0:00:00,2793.4,2798.4,2802,2775.6,30813,28964,20190621
IH1907,20190618,0:00:00,2769,2774,2776.4,2752,7041,11438,20190719
IH1909,20190618,0:00:00,2760,2759.4,2765.2,2740.4,3874,14565,20190920
IH1912,20190618,0:00:00,2763,2757.4,2765,2742.2,359,2467,20191220
IH1906,20190619,0:00:00,2868.4,2844.2,2878,2840.4,32358,24533,20190621
IH1907,20190619,0:00:00,2834,2821.2,2857.8,2819.8,12671,16119,20190719
IH1909,20190619,0:00:00,2819,2805,2837.6,2805,6285,15276,20190920
IH1912,20190619,0:00:00,2823,2803,2838.2,2801.8,807,2684,20191220
IH1906,20190620,0:00:00,2849.4,2939.6,2963,2846.6,31986,14507,20190621
IH1907,20190620,0:00:00,2828,2918.6,2941.8,2825.4,34570,32481,20190719
IH1909,20190620,0:00:00,2810.2,2908,2929,2809.6,9849,16352,20190920
IH1912,20190620,0:00:00,2809.8,2908.2,2929.6,2808.2,1187,2877,20191220
IH1906,20190621,0:00:00,2935,2936.8,2957,2928.6,13240,0,20190621
IH1907,20190621,0:00:00,2918,2921.6,2938.2,2911.8,34654,35031,20190719
IH1909,20190621,0:00:00,2915.2,2908.2,2929.4,2903.2,6201,16662,20190920
IH1912,20190621,0:00:00,2888,2910.8,2930,2888,928,2922,20191220
IH1907,20190624,0:00:00,2920.8,2926,2937.8,2901.4,32584,36610,20190719
IH1908,20190624,0:00:00,2911.4,2918.6,2931.8,2906.8,199,195,20190816
IH1909,20190624,0:00:00,2910,2917.6,2927.8,2900,4346,16245,20190920
IH1912,20190624,0:00:00,2905,2921.6,2931.2,2900.4,696,3063,20191220
IH1907,20190625,0:00:00,2926.8,2884,2926.8,2854,46134,41604,20190719
IH1908,20190625,0:00:00,2915.4,2882.6,2919.2,2852.4,397,428,20190816
IH1909,20190625,0:00:00,2918,2876.4,2919,2850.8,7397,17414,20190920
IH1912,20190625,0:00:00,2918.4,2879,2919.2,2855,1178,3217,20191220
IH1907,20190626,0:00:00,2870.2,2881.2,2893,2868,28342,36569,20190719
