,FutureID,ContractNum,Position,Value,Win
20120620,IF1207,1,short,1543456.6571428562,True
20120621,IF1207,1,short,1543494.857142856,True
20120625,IF1207,1,short,1543538.057142856,True
20120626,IF1207,1,short,1543544.6571428562,True
20120627,IF1207,1,long,1567675.6571428562,False
20120628,,1,,1560068.5714285704,
20120629,,1,,1560068.5714285704,
20120702,IF1207,1,short,1560063.5714285704,True
20120703,IF1207,1,long,1556466.5714285704,True
20120704,,1,,1557788.5714285704,
20120705,,1,,1557788.5714285704,
20120706,IF1207,1,long,1557801.5714285704,True
20120709,IF1207,1,short,1559525.3714285705,True
20120710,IF1207,1,short,1559533.5714285704,True
20120711,IF1207,1,short,1559527.5714285704,False
20120712,IF1207,1,long,1566578.9714285703,True
20120713,,1,,1568792.5714285704,
20120716,,1,,1568792.5714285704,
20120717,,1,,1568792.5714285704,
20120718,IF1207,1,long,1568783.9714285703,True
20120719,IF1207,1,short,1568496.5714285704,True
20120720,,1,,1568496.5714285704,True
20120723,,1,,1575752.5714285704,
20120724,,1,,1575752.5714285704,
20120725,,1,,1575752.5714285704,
20120726,,1,,1575752.5714285704,
20120727,,1,,1575752.5714285704,
20120730,IF1208,1,short,1575756.9714285703,True
20120731,IF1208,1,short,1575757.5714285704,False
20120801,IF1208,1,short,1575751.1714285705,False
20120802,IF1208,1,short,1575769.5714285704,True
20120803,IF1208,1,long,1577593.7714285704,True
20120806,IF1208,1,long,1577610.3714285705,True
20120807,IF1208,1,long,1577618.1714285705,True
20120808,IF1208,1,short,1586770.5714285704,True
20120809,,1,,1579709.999999999,
20120810,IF1208,1,short,1579709.999999999,True
20120813,IF1208,1,short,1579753.799999999,True
20120814,IF1208,1,short,1579763.999999999,True
20120815,IF1208,1,short,1579781.999999999,True
20120816,IF1208,1,short,1579792.399999999,True
20120817,,1,,1579792.399999999,True
20120820,,1,,1612169.999999999,
20120821,,1,,1612169.999999999,
20120822,,1,,1612169.999999999,
20120823,,1,,1612169.999999999,
20120824,,1,,1612169.999999999,
20120827,,1,,1612169.999999999,
20120828,,1,,1612169.999999999,
20120829,IF1209,1,short,1612184.199999999,True
20120830,IF1209,1,short,1612194.5999999992,True
20120831,IF1209,1,short,1612200.399999999,False
20120903,IF1209,1,short,1614803.199999999,False
20120904,IF1209,1,short,1614826.799999999,True
20120905,IF1209,1,short,1614827.5999999992,False
20120906,IF1209,1,long,1612198.799999999,True
20120907,IF1209,1,long,1612298.799999999,True
20120910,IF1209,1,long,1612295.399999999,False
20120911,IF1209,1,long,1612281.199999999,False
20120912,IF1209,1,long,1612287.999999999,True
20120913,IF1209,1,long,1612258.399999999,False
20120914,IF1209,1,long,1612286.5999999992,False
20120917,IF1209,1,long,1612226.999999999,False
20120918,,1,,1620485.999999999,
20120919,,1,,1620485.999999999,
20120920,IF1209,1,short,1620517.799999999,True
20120921,,1,,1620517.799999999,True
20120924,IF1210,1,long,1627432.399999999,True
20120925,IF1210,1,short,1620117.999999999,False
20120926,IF1210,1,short,1620136.399999999,True
20120927,,1,,1609557.4285714277,
20120928,IF1210,1,long,1609596.2285714278,True
20121008,,1,,1611933.4285714277,
20121009,IF1210,1,long,1611915.0285714278,True
20121010,IF1210,1,long,1611912.6285714277,True
20121011,IF1210,1,short,1604972.4285714277,True
20121012,,1,,1606797.4285714277,
20121015,,1,,1606797.4285714277,
20121016,,1,,1606797.4285714277,
20121017,,1,,1606797.4285714277,
20121018,IF1210,1,long,1606807.8285714276,True
20121019,,1,,1606807.8285714276,True
20121022,,1,,1607277.4285714277,
20121023,IF1211,1,short,1607288.2285714278,True
20121024,IF1211,1,short,1607290.6285714277,False
20121025,IF1211,1,short,1607305.2285714278,True
