,curr_con,curr_con_trend,curr_con_trand2,next_con,next_con_trend,next_con_trend2,curr_con_trend2
20140225,IF1403,-1,,IF1404,-1,,
20140226,IF1403,,,IF1404,,,
20140227,IF1403,,,IF1404,,,-1.0
20140228,IF1403,,,IF1404,,,
20140303,IF1403,,,IF1404,,,
20140304,IF1403,,,IF1404,,,
20140305,IF1403,,,IF1404,,,
20140306,IF1403,,,IF1404,,,
20140307,IF1403,,,IF1404,,,
20140310,IF1403,-1,,IF1404,-1,,
20140311,IF1403,,,IF1404,,,
20140312,IF1403,,,IF1404,,,
20140313,IF1403,,,IF1404,,,
20140314,IF1403,,,IF1404,,,
20140317,IF1403,,,IF1404,,,
20140318,IF1403,,,IF1404,,,
20140319,IF1403,,,IF1404,,,
20140320,IF1403,,,IF1404,,,
20140321,IF1403,1,,IF1404,1,,
20140324,IF1404,,,IF1405,,,
20140325,IF1404,,,IF1405,,,
20140326,IF1404,,,IF1405,,,
20140327,IF1404,,,IF1405,,,
20140328,IF1404,,,IF1405,,,
20140331,IF1404,,,IF1405,,,
20140401,IF1404,,,IF1405,,,
20140402,IF1404,,,IF1405,,,
20140403,IF1404,,,IF1405,,,
20140404,IF1404,,,IF1405,,,
20140408,IF1404,1,,IF1405,1,1,
20140409,IF1404,,,IF1405,,1,1.0
20140410,IF1404,,,IF1405,,1,1.0
20140411,IF1404,,,IF1405,,1,1.0
20140414,IF1404,,,IF1405,,,
20140415,IF1404,,,IF1405,,,
20140416,IF1404,,,IF1405,,,
20140417,IF1404,,,IF1405,,,
20140418,IF1404,,,IF1405,,,
20140421,IF1405,,,IF1406,,,
20140422,IF1405,,,IF1406,,,-1.0
20140423,IF1405,,,IF1406,,,-1.0
20140424,IF1405,,,IF1406,,,-1.0
20140425,IF1405,,,IF1406,,,-1.0
20140428,IF1405,,,IF1406,,,-1.0
20140429,IF1405,,,IF1406,,,-1.0
20140430,IF1405,,,IF1406,,,-1.0
20140505,IF1405,,,IF1406,,,
20140506,IF1405,,,IF1406,,,
20140507,IF1405,,,IF1406,,,
20140508,IF1405,,,IF1406,,,
20140509,IF1405,,,IF1406,,,
20140512,IF1405,,,IF1406,,,
20140513,IF1405,,,IF1406,,,
20140514,IF1405,,,IF1406,,,
20140515,IF1405,,,IF1406,,,
20140516,IF1405,,,IF1406,,,
20140519,IF1406,,,IF1407,,,
20140520,IF1406,,,IF1407,,,
20140521,IF1406,,,IF1407,,,
20140522,IF1406,,,IF1407,,,
20140523,IF1406,,,IF1407,,,
20140526,IF1406,,,IF1407,,,
20140527,IF1406,,,IF1407,,,
20140528,IF1406,,,IF1407,,1,1.0
20140529,IF1406,,,IF1407,,,
20140530,IF1406,,,IF1407,,,
20140603,IF1406,,,IF1407,,,
20140604,IF1406,,,IF1407,,,
20140605,IF1406,,,IF1407,,,
20140606,IF1406,,,IF1407,,,
20140609,IF1406,,,IF1407,,,
20140610,IF1406,,,IF1407,,,
20140611,IF1406,,,IF1407,,,
20140612,IF1406,,,IF1407,,,
20140613,IF1406,,,IF1407,,,
20140616,IF1406,,,IF1407,,,
20140617,IF1406,,,IF1407,,,
20140618,IF1406,,,IF1407,,,
20140619,IF1406,,,IF1407,,,
20140620,IF1406,,,IF1407,,,
20140623,IF1407,,,IF1408,,,
20140624,IF1407,,,IF1408,,,
20140625,IF1407,,,IF1408,,,-1.0
20140626,IF1407,,,IF1408,,,
20140627,IF1407,,,IF1408,,,
20140630,IF1407,,,IF1408,,,
20140701,IF1407,,,IF1408,,,
20140702,IF1407,,,IF1408,,,
20140703,IF1407,,,IF1408,,,
20140704,IF1407,,,IF1408,,,
20140707,IF1407,,,IF1408,,,
20140708,IF1407,,,IF1408,,,
20140709,IF1407,,,IF1408,,,
20140710,IF1407,,,IF1408,,,
20140711,IF1407,,,IF1408,,,
20140714,IF1407,,,IF1408,,,
20140715,IF1407,,,IF1408,,,
20140716,IF1407,,,IF1408,,,
20140717,IF1407,,,IF1408,,,
20140718,IF1407,,,IF1408,,,
20140721,IF1408,,,IF1409,,,
20140722,IF1408,,,IF1409,,,
20140723,IF1408,,,IF1409,,,
20140724,IF1408,,,IF1409,,,
20140725,IF1408,,,IF1409,,,
20140728,IF1408,1,,IF1409,1,,
20140729,IF1408,,,IF1409,,1,1.0
20140730,IF1408,,,IF1409,,1,1.0
20140731,IF1408,,,IF1409,,1,1.0
20140801,IF1408,,,IF1409,,,
20140804,IF1408,,,IF1409,,,
20140805,IF1408,,,IF1409,,,
20140806,IF1408,,,IF1409,,,
20140807,IF1408,,,IF1409,,,
20140808,IF1408,,,IF1409,,,
20140811,IF1408,,,IF1409,,,
20140812,IF1408,,,IF1409,,,
20140813,IF1408,,,IF1409,,,
20140814,IF1408,,,IF1409,,,
20140815,IF1408,,,IF1409,,,
20140818,IF1409,,,IF1410,,,
20140819,IF1409,,,IF1410,,,
20140820,IF1409,,,IF1410,,,
20140821,IF1409,,,IF1410,,,
20140822,IF1409,,,IF1410,,,
20140825,IF1409,,,IF1410,,,
