,curr_mon_con,next_mon_con,curr_mon_PV,next_mon_PV,curr_signal,next_signal,SettleWeekFlag
20190815,IF1908,IF1909,-0.16125670990173396,0.2566805618805826,-1.0,1.0,1
20190816,IF1908,IF1909,-0.018642479518612108,0.09109582599199223,-1.0,1.0,1
20190819,IF1909,IF1910,-0.06534862830622315,-0.030939700562792192,-1.0,-1.0,
20190820,IF1909,IF1910,0.10862289055093213,0.2607333936690325,1.0,1.0,
20190821,IF1909,IF1910,0.043839897134871623,0.12399068496375194,1.0,1.0,
20190822,IF1909,IF1910,-0.08517137391516352,0.06584758705397316,-1.0,1.0,
20190823,IF1909,IF1910,0.19840784357348495,0.09783152458556285,1.0,1.0,
20190826,IF1909,IF1910,-0.0356175426951863,-0.08440257251132226,-1.0,-1.0,
20190827,IF1909,IF1910,0.23923286947244032,0.1177455373086425,1.0,1.0,
20190828,IF1909,IF1910,-0.029424265816727056,-0.026376889251196745,-1.0,-1.0,
20190829,IF1909,IF1910,-0.21174124107317954,-0.11689661833607022,-1.0,-1.0,
20190830,IF1909,IF1910,0.058587550368550546,0.10101054511754592,1.0,1.0,
20190902,IF1909,IF1910,0.14823359055333646,0.13391476190524368,1.0,1.0,
20190903,IF1909,IF1910,0.03371057014625422,-0.13206496013421387,1.0,-1.0,
20190904,IF1909,IF1910,0.04414031140155031,0.18876580996134604,1.0,1.0,
20190905,IF1909,IF1910,0.1680917417017859,0.17808121182647607,1.0,1.0,
20190906,IF1909,IF1910,-0.17474206557350871,0.025277963209679892,-1.0,1.0,
20190909,IF1909,IF1910,-0.23020341105119993,-0.011576900083645226,-1.0,-1.0,
20190910,IF1909,IF1910,-0.22428900330586474,-0.12002836699091228,-1.0,-1.0,
20190911,IF1909,IF1910,-0.18441773351638843,-0.1166355835228866,-1.0,-1.0,
20190912,IF1909,IF1910,-0.08365276983478816,-0.005083607713397977,-1.0,,
20190916,IF1909,IF1910,-0.08397886523854182,-0.2503034552414397,-1.0,-1.0,1
